108,10,20,5,16,
109,22,8,5,16,
110,20,11,5,17,
111,11,20,5,17,
112,12,9,5,7,
113,12,22,5,7,
114,17,10,5,8,
115,19,11,5,8,
116,11,8,5,8,
117,18,22,5,8,
118,7,15,5,9,
119,22,11,5,19,
120,21,18,5,20,
121,17,18,5,10,
122,16,22,5,12,
123,17,9,5,12,
124,12,20,5,12,
125,11,18,5,21,
126,15,20,5,21,
127,17,16,5,22,
128,9,15,5,22,
129,10,7,5,22,
130,12,21,5,22,
131,16,12,5,15,
132,11,17,5,15,
133,17,22,5,18,
134,8,10,5,18,
135,10,7,5,18,
136,22,12,5,18,
137,12,19,6,6
138,16,7,6,16,
139,16,8,6,16, // start piece
140,16,11,6,16,
141,9,15,6,16,
142,20,16,6,16,
143,22,11,6,16,
144,15,15,6,16,
145,7,10,6,17,
146,6,11,6,7,
147,6,18,6,7,
148,7,17,6,7,
149,20,11,6,7,
150,16,8,6,9,
151,10,18,6,9,
152,8,8,6,19,
153,8,9,6,19,
154,18,22,6,19,
155,19,19,6,10,
156,19,11,6,10,
157,18,19,6,10,
158,19,22,6,12,
159,21,16,6,12,
160,15,15,6,21,
161,16,12,6,22,
162,17,12,6,22,
163,20,8,6,18,
164,10,22,6,18,
165,7,10,16,17,
166,10,21,16,17,
167,7,7,16,8,
168,8,20,16,9,
169,9,15,16,9,
170,10,21,16,19,
171,12,22,16,19,
172,15,8,16,19,
173,20,20,16,20,
174,11,12,16,20,
175,19,15,16,10,
176,19,9,16,11,
177,17,10,16,12,
178,11,22,16,21,
179,21,20,16,21,
180,19,22,16,22,
181,8,22,16,15,
182,19,8,16,15,
183,9,21,17,17,
184,18,19,17,7,
185,9,11,17,8,
186,21,21,17,8,
187,15,19,17,9,
188,17,15,17,19,
189,7,9,17,19,
190,22,9,17,19,
191,7,7,17,20,
192,20,12,17,20,
193,8,19,17,10,
194,15,8,17,11,
195,15,18,17,11,
196,18,20,17,11,
197,8,18,17,12,
198,9,21,17,12,
199,12,12,17,12,
200,9,7,17,21,
201,15,21,17,22,
202,18,19,17,22,
203,11,9,17,15
204,11,21,17,15
205,22,7,17,15
206,18,15,17,15
207,18,19,7,7,
208,9,18,7,8,
209,21,20,7,8,
210,8,9,7,19,
211,22,20,7,19,
212,7,22,7,20,
213,21,21,7,10,
214,7,12,7,11,
215,10,18,7,11,
216,18,15,7,11,
217,9,20,7,12,
218,10,11,7,22,
219,8,10,7,15
220,8,22,7,18,
221,15,15,7,18,
222,15,18,7,18,
223,11,18,8,8,
224,12,19,8,8,
225,22,20,8,8,
226,9,20,8,19,
227,11,11,8,19,
228,9,21,8,10,
229,19,18,8,12,
230,22,21,8,12,
231,11,12,8,21,
232,11,15,8,21,
233,9,12,9,9,
234,22,10,9,19,
235,19,10,9,10,
236,19,12,9,10,
237,11,20,9,10,
238,10,22,9,11,
239,20,18,9,12,
240,15,20,9,12,
241,19,15,9,21,
242,10,15,9,21,
243,20,11,19,20,
244,12,21,19,20,
245,18,12,19,10,
246,22,18,19,15,
247,15,18,20,20,
248,11,10,20,10,
249,10,15,20,11,
250,22,15,20,12,
251,18,21,10,10,
252,21,11,10,11,
253,22,12,11,21,
254,15,22,12,22,
255,22,18,12,18,
256,15,18,21,18,
